"ORIGFDCD","ORIGFDNM","ENGFDNAM","ORIGGPCD","SCINAM"
19730.00,"Yaourt au lait partiellement écrémé, aux fruits, sucré","Yoghurt, lowfat, with fruit","05.4",
19740.00,"Lait fermenté au lait entier au bifidus, aux fruits, sucré","Fermented milk, wholemilk, Bifidus, with fruit","05.4",
19760.00,"Spécialité laitière ou yaourt 0%, aux fruits, sucrée","Yoghurt, nonfat, with fruit, sweetened","05.4",
19765.00,"Spécialité laitière ou yaourt 0%, aux fruits, édulcoré","Yoghurt, nonfat, with fruit, aspartame","05.4",
19771.00,"Yaourt à boire, au lait demi-écrémé ou partiellement écrémé, aromatisé, sucré","Drinking yoghurt, lowfat, flavoured, sweetened","05.4",
19772.00,"Yaourt à boire, au lait demi-écrémé, aux édulcorants","Drinking yoghurt, lowfat, with aspartame","05.4",
19773.00,"Yaourt à boire, au lait demi-écrémé ou partiellement écrémé, aux fruits, sucré","Drinking yoghurt, lowfat, with fruit","05.4",
19780.00,"Lait fermenté à boire, au bifidus, arôme fruits","Drinking Fermented milkt, Bifidus, fruit flavoured","05.4",
19800.00,"Lait fermenté au lait entier au bifidus, nature","Fermented milk, wholemilk, Bifidus, plain","05.4",
19801.00,"Lait fermenté à boire, maigre, nature","Buttermilk, cultured, low fat, plain","05.4",
19850.00,"Spécialité laitière de fromage blanc, avec crème, nature","Quark 50% fidm, plain","05.5",
19851.00,"Spécialité laitière de fromage blanc, avec crème, aux fruits, sucrée","Quark 50% fidm, with  fruit","05.5",
19852.00,"Mousse à la crème de marrons","Chestnut mousse","05.8",
19855.00,"Spécialité laitière ou yaourt 0%, aux céréales ou muesli","Yoghurt, nonfat, with cereals","05.4",
13998.00,"Coulis de fruits rouges (framboises, fraises, groseilles, cassis)","Fruit sauce","18.1",
13999.00,"Fruit (aliment moyen)","Fruit (average)","AM",
14000.00,"Chevreuil, rôti","Venison, roasted","09",
14001.00,"Lièvre, en ragoût","Hare, stewed","09",
14003.00,"Sanglier, rôti","Wild boar, roasted","09",
15001.00,"Cacahuète ou Arachide","Peanut, in shell","20",
15002.00,"Cacahuète, grillée, salée","Peanut, roasted, salted","20",
15004.00,"Noisette","Hazelnut","20",
15006.00,"Noix de coco, amande mûre, fraîche","Coconut, mature kernel, fresh","20","Cocos nucifera L."
15007.00,"Noix de coco, amande, sèche","Coconut, kernel, dry","20","Cocos nucifera L."
15008.00,"Noix du Brésil","Brazil nut","20",
15009.00,"Pistache, grillée, salée","Pistachio nut, roasted, salted","20",
15010.00,"Sésame, graine","Sesame seed","20",
15011.00,"Tournesol, graine","Sunflower seed, kernel","20",
15015.00,"Purée de marrons, appertisée","Chestnut puree, canned","20",
15016.00,"Crème de marrons vanillée, appertisée","Chestnut cream, canned","20",
15018.00,"Mélange apéritif de graines salées et raisins secs","Nut and raisin mix, snack","20",
15019.00,"Noix de cajou, grillée, salée","Cashew nut, roasted and salted","20",
15020.00,"Châtaigne, cuite à l'eau","Chestnut, boiled","20","Castenea sativa"
15025.00,"Pignon de pin","Pine pignolias","20","Pinus pinea"
15026.00,"Noix de pécan","Pecan nut","20",
15027.00,"Noix de macadamia","Macadamia nut","20",
15201.00,"Pâte d'amande, pré-emballée","Marzipan","20",
15202.00,"Beurre de cacahuète ou Pâte d'arachide","Peanut butter","20",
16080.00,"Corps gras végétal pour friture, en pain","Hydrogenated coconut oil for frying","08.4","Cocos nucifera"
16400.00,"Beurre doux","Butter, unsalted","08.1",
16402.00,"Beurre demi-sel","Butter, salted (0,5-3%)","08.1",
16520.00,"Saindoux","Lard","08.2","Sus scrofa"
16530.00,"Lard gras, cru","Fat, pork, raw","08.2","Sus scrofa"
16550.00,"Graisse de canard","Fat, duck","08.2","Anas spp."
16560.00,"Graisse d'oie","Fat, goose","08.2","Anser spp."
16615.00,"Margarine à 80% MG, en pain","Margarine 80% fat, hard","08.3",
16655.00,"Margarine à 80% MG, au tournesol, en barquette","Margarine 80% fat, soft, sunflowerseed","08.3",
16701.00,"Matière grasse composée à 60% MG, allégée","Fat spread, blended, 60% fat","08.3",
16730.00,"Matière grasse à 38-41% MG, légère, à tartiner","Fat spread 38-41% fat, soft","08.3",
17001.00,"Huile végétale (aliment moyen)","Oil, vegetable (average)","AM",
17040.00,"Huile d'arachide","Oil, peanut","08.4","arachis hypogaea"
17100.00,"Huile d'avocat","Avocado oil","08.4","Persea americana"
17130.00,"Huile de colza","Oil, rapeseed","08.4","Brassica napus JET9"
17190.00,"Huile de maïs","Oil, maize (corn)","08.4","Zea mays"
17210.00,"Huile de noisette","Hazelnut oil","08.4","Corylus avellana"
17270.00,"Huile d'olive vierge","Oil, olive","08.4","Olia europeae"
17350.00,"Huile de pépins de raisin","Oil, grapeseed","08.4","Vitis vinifera"
17400.00,"Huile de sésame","Sesameseed oil","08.4","Sesamum indicum"
17420.00,"Huile de soja","Oil, soya","08.4","Glycine max"
17440.00,"Huile de tournesol","Oil, sunflowerseed","08.4","Helianthus annuus"
17610.00,"Huile de poisson","Oil, fish","08.2",
17700.00,"Huile combinée (mélange d'huiles)","Oil, vegetable, blended, dietetic","08.4",
17999.00,"Huile de paraffine","Oil, mineral","08.4",
18001.00,"Soda sans jus de fruit, ""light""","Carbonated beverage, diet soda","22.1",
18004.00,"Café noir, non sucré","Coffee, black, unsweetened","22.4",
18005.00,"Café, poudre soluble","Coffee powder, instant","22.4",
18008.00,"Eau de source, embouteillée (aliment moyen)","Water, bottled (average)","AM",
18009.00,"Eau minérale embouteillée, faiblement minéralisée (aliment moyen)","Water, bottled, low mineral (average)","AM",
18010.00,"Limonade ou clear lime, sucrée","Carbonated beverage, lemon or clear lime, sweetened","22.1",
18011.00,"Noix de coco, eau","Coconut water (liquid from coconuts)","19","Cocos nucifera L."
18017.00,"Sirop type menthe ou fraise","Fruit syrup","22.5",
18018.00,"Soda au cola, sucré","Carbonated beverage, cola","22.1",
18020.00,"Thé infusé, non sucré","Tea, unsweetened","22.4",
18022.00,"Tisane infusée, non sucrée","Infusion, unsweetened","22.4",
18041.00,"Noix de coco, ""lait""","Coconut milk (liquid expressed from grated meat and water)","19","Cocos nucifera L."
18058.00,"Sirop, dilué","Syrup, diluted","22.1",
18060.00,"Soda au cola, ""light""","Carbonated beverage, cola, light","22.1",
18075.00,"Boisson au thé, aromatisée, sucrée","Tea flavoured beverage, sweetened","22.1",
18100.00,"Cacao, non sucré, poudre soluble","Cocoa powder, unsweetened","22.4",
18102.00,"Poudre maltée, cacaotée et sucrée pour boisson","Beverage base, malted, sweetened (powder)","22.4",
18104.00,"Boisson cacaotée sucrée, soluble reconstituée","Chocolate flavoured beverage, sweetened, prepared","22.4",
18105.00,"Poudre cacaotée sucrée pour boisson, enrichie","Chocolate flavored beverage base, fortified","22.4",
18106.00,"Boisson cacaotée sucrée, soluble reconstituée, enrichie en vitamines","Chocolate flavoured beverage, sweetened, vit. fortif, prepared","22.4",
18151.00,"Café au lait, café crème ou cappuccino, non sucré","Coffee with milk or cappuccino, unsweetened","22.4",
18220.00,"Citron ou Lime, préparation à diluer, sans sucre","Lemon beverage base","22.5",
18301.00,"Boisson gazeuse à l'orange avec pulpe (environ 14% de fruits), sucrée","Carbonated beverage, orange with pulp (14% fruit), sweetened","22.1",
18311.00,"Boisson plate à l'orange (teneur en jus non spécifiée)","Orange still drink","22.1",
18330.00,"Boisson plate aux fruits exotiques (10 à 50% de jus), sucrée","Fruit still drink (10-50% juice), tropical fruit, sweetened","22.1",
18341.00,"Boisson gazeuse à la pomme (de 50 à 99% de fruits), sans sucre ajouté","Carbonated beverage, apple (50-99% juice), no sugar added","22.1",
18342.00,"Boisson plate à l'orange (10 à 50% de jus), sucrée","Fruit still drink (10-50% juice), orange, sweetened","22.1",
18343.00,"Boisson au jus de fruit et au lait","Fruit juice and milk beverage","22.1",
18344.00,"Tonic","Carbonated beverage, tonic water","22.1",
18350.00,"Boisson diététique pour le sport","Sports drink","29",
18900.00,"Boisson au soja ou Tonyu, nature","Soya drink, plain","22.1",
19011.00,"Lait de croissance infantile","Milk, junior, fluid","05.2",
20077.00,"Chou de Bruxelles, appertisé, égoutté","Brussels sprout, canned","15",
20078.00,"Céleri branche, appertisé","Celery stalk, canned","15",
20081.00,"Salsifis, appertisé, égoutté","Salsify, canned","15","Tragopogon porrifolius, Scorzonera hispanica"
20086.00,"Poivron vert, cuit","Pepper, sweet, green, boiled","15",
20087.00,"Poivron rouge, cru","Pepper, sweet, red, raw","15",
20088.00,"Poivron rouge, cuit","Pepper, sweet, red, boiled","15",
20089.00,"Radis noir, cru","Radish, black, raw","15","Raphanus sativus var niger"
20090.00,"Scarole, crue","Broad-leaved endive, raw","15",
20093.00,"Petits pois et carottes, appertisés, égouttés","Carrots and peas, canned","15",
20095.00,"Chou rouge, cuit à l'eau","Cabbage, red, boiled","15",
20096.00,"Potiron, cuit","Pumpkin, cooked","15",
20097.00,"Échalote, crue","Shallot, raw","15",
20098.00,"Endive, cuite","Witlof, cooked","15",
20111.00,"Oseille, crue","Sorrel, raw","15",
20112.00,"Oseille, cuite à l'eau","Sorrel, cooked with moist heat","15",
20116.00,"Chou blanc, cru","White cabbage, raw","15",
20118.00,"Fenouil, cuit à l'eau","Fennel, cooked","15",
20169.00,"Tomate, pulpe, appertisée","Tomato pulp, canned, commercial","15",
20170.00,"Tomate, purée","Tomato pulp","15",
20171.00,"Laitue romaine, crue","Cos lettuce, raw","15",
20183.00,"Haricot mungo germé ou Pousse de ""soja"", frais","Beans, mung, sprouted, raw","15",
20500.00,"Fève, cuite","Broad bean, boiled","16",
20502.00,"Haricot blanc, cuit","Haricot bean, boiled","16",
20503.00,"Haricot rouge, cuit","Red kidney bean, boiled, without salt","16",
20505.00,"Lentille, cuite","Lentil, boiled","16",
20506.00,"Pois cassé, cuit","Split pea, boiled","16",
20507.00,"Pois chiche, cuit","Chick pea, boiled","16",
20508.00,"Haricot flageolet, appertisé, égouttés","Dwarf kidney bean, canned","16",
20510.00,"Lentille, cuisinée, appertisée, égouttée","Lentil, canned","16",
20511.00,"Haricot blanc, appertisé, égoutté","Haricot bean, canned","16",
20905.00,"Dessert fermenté au soja, nature, rayon frais","Soy yoghurt, plain, refrigerated","05.8",
20909.00,"Dessert fermenté au soja, aux fruits, enrichi en vitamines et/ou minéraux, rayon frais","Soy yoghurt with fruit, refrigerated","05.8",
24034.00,"Biscuit sec pour petit déjeuner","Breakfast biscuit (cookie), dry","03.2",
24036.00,"Biscuit sec chocolaté, préemballé","Biscuit (cookie), chocolat","03.2",
24037.00,"Biscuit sec fourré à la pâte ou purée de fruits","Biscuit (cookie) with fruit filling","03.2",
24038.00,"Biscuit sec avec nappage chocolat","Biscuit (cookie), chocolate-covered","03.2",
24049.00,"Biscuit sec au beurre, sablé, galette ou palet","Biscuit (cookie), shortbread, commercial","03.2",
7180.00,"Pain pita","Pita bread","02.3",
24225.00,"Goûter sec fourré (""sandwiché"") parfum lait ou vanille","Biscuit (cookie), sandwich type, with vanilla or milk filling","03.2",
24231.00,"Goûter sec fourré (""sandwiché"") parfum chocolat","Biscuit (cookie), snack with chocolate filling","03.2",
24240.00,"Goûter sec fourré (""sandwiché"") parfum fruits","Snack cookie with fruit filling","03.2",
25455.00,"Tarte aux poireaux","Leek quiche","25.6",
24310.00,"Gaufrette fourrée, autre fourrage qu'aux fruits (chocolat, vanille, noisette, etc.)","Biscuit (cookie), wafer with filling","03.2",
11182.00,"Sauce au poivre","Sauce, pepper","28.4",
9415.00,"Farine de blé tendre ou froment T150","Wheat flour, wholemeal type 150","01.1",
24320.00,"Gaufrette fourrée, aux fruits","Biscuit (cookie), wafer with fruit filling","03.2",
2034.00,"Clémentine/mandarine, pur jus","Mandarin orange juice","19","Citrus reticulata Swingle"
24430.00,"Biscuit sec aux oeufs à la cuillère (cuiller) ou Boudoir","Biscuit (cookie), sponge fingers or Lady fingers","03.2",
25608.00,"Taboulé oriental ou Salade de couscous","Tabouleh, commercial","24",
16729.00,"Matière grasse à 38-41% MG, légère, à tartiner, demi-sel","Fat spread 38-41% fat, soft, salted","08.3",
16702.00,"Matière grasse composée à 60% MG, allégée, demi-sel","Fat spread, blended, 60% fat, salted","08.3",
16616.00,"Matière grasse à 70% MG, en pain","Fat spread 70% fat, hard","08.3",
12740.00,"Mimolette","Mimolette cheese","06.5",
24441.00,"Langue de chat","Biscuit (cookie), vanilla","03.2",
18304.00,"Boisson plate aux fruits (10 à 50% de jus), à teneur réduite en sucre","Fruit still drink (10-50% fruit juice), reduced sugar","22.1",
12802.00,"Fromage de chèvre lactique affiné, au lait pasteurisé (type bûchette ou crottin)","Goat cheese from pasteurised milk","06.1",
12831.00,"Pélardon","Pélardon goat cheese","06.1",
24520.00,"Meringue","Biscuit (cookie), meringue, from bakery","03.2",
24615.00,"Biscuit sec ou tuile, aux amandes","Biscuit (cookie), thin, with almonds","03.2",
24659.00,"Biscuit sec feuilleté, type palmier ou autres","Biscuit (cookie), flaky pastry","03.2",
24660.00,"Palmier, artisanal","Biscuit (cookie), flaky pastry, from bakery","03.2",
24666.00,"Mille-feuille","Mille-feuille pastry, from bakery","03.1",
24678.00,"Biscuit sec (génoise) nappage aux fruits, type barquette","Biscuit (cookie), boat-shaped, jam filled, commercial","03.2",
24684.00,"Cookie aux pépites de chocolat","Biscuit (cookie), chocolate-chip","03.2",
25001.00,"Blanquette de veau","Veal stew in white sauce","25.1",
25002.00,"Cassoulet, appertisé","Cassoulet, canned","25.1",
25003.00,"Choucroute garnie","Sauerkraut with meat, canned","25.3",
25004.00,"Choucroute, sans jus","Sauerkraut, drained","25.3",
25009.00,"Hachis Parmentier","Shepherd's pie","25.1",
25010.00,"Petit salé ou saucisse aux lentilles","Lentils with salt-cured pork or sausage","25.1",
25013.00,"Pot-au-feu","Pot-au-feu","25.1",
25018.00,"Ratatouille niçoise","Ratatouille","25.3",
25019.00,"Ravioli à la viande, sauce tomate","Ravioli with meat and tomato sauce, canned","25.4",
25020.00,"Soufflé au fromage","Cheese soufflé","25.5",
25029.00,"Couscous mouton","Couscous with mutton","25.4",
25031.00,"Paella","Paëlla","25.4",
25033.00,"Boeuf bourguignon","Beef stew, Burgundy-style","25.1",
20911.00,"Dessert soja aromatisé, rayon frais","Soy dessert, flavoured, refrigerated","05.8",
20914.00,"Escalope végétale ou Steak à base de soja","Soy burger","25.3",
21501.00,"Agneau, côtelette, grillée","Lamb cutlet, grilled","09",
21502.00,"Agneau, gigot, cru","Lamb leg, raw","09",
21503.00,"Agneau, gigot, rôti","Lamb leg, roasted","09",
21506.00,"Agneau, épaule, rôtie","Lamb shoulder, roasted","09",
21507.00,"Agneau, épaule, maigre, rôtie","Lamb shoulder roast, lean, cooked","09",
22002.00,"Jaune d'oeuf, cru","Egg yolk, raw","07",
22008.00,"Blanc d'oeuf, cuit","Egg white, cooked","07",
22010.00,"Oeuf dur","Egg, hard-boiled","07",
22011.00,"Oeuf poché","Egg, poached","07",
22014.00,"Oeuf à la coque","Egg, soft-boiled","07",
22500.00,"Omelette nature, avec matière grasse et sel","Omelette, plain","07",
22501.00,"Oeuf au plat, frit, salé","Egg, fried, salted","07",
22502.00,"Oeuf brouillé","Egg, scrambled","07",
22505.00,"Oeuf au plat, sans matière grasse","Egg, fried without fat","07",
22506.00,"Omelette au fromage","Omelette with cheese","07",
22507.00,"Omelette aux lardons","Omelette with bacon","07",
23000.00,"Gâteau (aliment moyen)","Cake (average)","AM",
23009.00,"Fraisier ou framboisier","Strawberry or raspberry mousse cake","03.1",
23021.00,"Baba au rhum","Rum baba","03.1",
23024.00,"Macaron moelleux fourré à la confiture ou à la crème","Macaroon filled with jam or cream","03.1",
23030.00,"Bûche de Noël pâtissière","Log cake","03.1",
23032.00,"Brownie au chocolat","Brownies, chocolate-nut","03.1",
23033.00,"Rocher coco ou Congolais (petit gâteau à la noix de coco)","Rock-shaped coconut cake","03.1",
23050.00,"Biscuit de Savoie","Sponge cake","03.1",
23081.00,"Quatre-quarts ou barre pâtissière, préemballé","Pound cake, commercial","03.1",
23121.00,"Far aux pruneaux","Breton cake with prunes","03.1",
23200.00,"Pain d'épices","Gingerbread","03.1",
23412.00,"Pâte brisée, cuite","Pastry, short crust, baked","03.4",
23426.00,"Pâte feuilletée pur beurre, cuite","Pastry, flaky, pure butter, cooked","03.4",
23455.00,"Chou à la crème (chantilly ou pâtissière)","Pastry cream puff","03.1",
23467.00,"Chouquette","Puff pastry, sugar coated, from bakery","02.4",
23472.00,"Profiterole avec glace vanille et sauce chocolat","Puff pastry with ice cream and chocolate sauce","05.8",
23477.00,"Éclair","Eclair, from bakery","03.1",
23480.00,"Chausson aux pommes","Apple turnover, from bakery","02.4",
23485.00,"Tarte au citron","Lemon meringue pie","03.1",
23490.00,"Tarte ou tartelette aux pommes","Apple pie or tart, from bakery","03.1",
23491.00,"Tarte aux fraises","Strawberry pie","03.1",
23499.00,"Tarte ou tartelette aux fruits","Fruit pie or tart, from bakery","03.1",
23501.00,"Tarte à la crème","Custard pie","03.1",
28962.00,"Jambon de volaille","Poultry cooked ham","12",
12803.00,"Fromage de chèvre lactique affiné, au lait pasteurisé ou cru (type Bûchette, Crottin, Picodon, Ste-Maure)","Goat cheese from raw or pasteurised milk","06.1",
24031.00,"Biscuit sec croquant (ex : tuile) sans chocolat, allégé en matière grasse","Biscuit (cookie), light, without chocolate","03.2",
31106.00,"Barre céréalière chocolatée","Cereal bar, chocolate","04",
31114.00,"Barre céréalière aux amandes ou noisettes","Cereal bar with nuts","04",
32115.00,"Grains de blé soufflés chocolatés, enrichis en vitamines et minéraux","Breakfast cereals, puffed wheat, chocolate , enriched","04",
23525.00,"Flan pâtissier aux oeufs ou à la parisienne","Flan with pie crust","03.1",
31062.00,"Confiture de framboise","Jam, raspberry","21.2",
31068.00,"Confiture de myrtilles","Jam, blueberry","21.2",
25128.00,"Poisson à la provençale","Fish with provencale sauce","25.2",
38104.00,"Chips de crevette","Prawn crackers","03.3",
25156.00,"Ravioli frais au fromage, cuit","Ravioli with cheese, cooked","25.4",
9816.00,"Pâtes alimentaires aux oeufs, fraîches, cuites","Pasta, fresh, cooked","01.3",
23535.00,"Gâteau de semoule, appertisé","Semolina pudding, canned","05.8",
23536.00,"Gâteau de riz nappé de caramel, rayon frais","Rice pudding with caramel sauce, refrigerated","05.8",
12839.00,"Pouligny Saint-Pierre","Pouligny Saint-Pierre goat cheese","06.1",
23940.00,"Gâteau moelleux fourré au chocolat multicouche","Multi-layer mini pound cake","03.1",
10004.00,"Coquille Saint-Jacques, noix et corail, cuite","Great Atlantic scallop, with coral, steamed","14.1",
11007.00,"Gélatine","Gelatin, dry","03.4",
2004.00,"Jus de fruits (aliment moyen)","Fruit juice (average)","AM",
1009.00,"Apéritif à la gentiane","Gentian bitters","23.4",
16713.00,"Matière grasse laitière à 20% MG, légère, à tartiner","Dairy spread 20% fat, soft","08.1",
17900.00,"Huile d'argan(e)","Argan oil","08.4",
36035.00,"Poulet, manchons marinés et rôtis","Chicken, wings, seasonned and roasted","10",
23456.00,"Chou à la crème chantilly","Cream puff","03.1",
23457.00,"Chou à la crème pâtissière","Cream puff","03.1",
24071.00,"Sablé pâtissier","Shortbread cookie","03.2",
19530.00,"Spécialité fromagère non affinée à tartiner environ 36% MG aromatisée","Uncured cheese spread 70% fidm, with herbs, 36% fat","06.9",
24008.00,"Biscuit sec fourré aux fruits, allégé en matière grasse","Biscuit (cookie), light, with fruit filling","03.2",
23585.00,"Gâteau au chocolat","Cake, chocolate","03.1",
23589.00,"Gâteau au fromage blanc","Cheesecake, from bakery","03.1",
23684.00,"Galette des rois feuilletée, fourrée frangipane","Twelfth Night cake","03.1",
23800.00,"Crêpe au froment pré-emballée, nature","Crepe, plain, prepacked","03.1",
23805.00,"Blini","Blinis","02.3",
23815.00,"Crêpe au froment, sucrée","Crepe with sugar","03.1",
23820.00,"Crêpe au froment, fourrée à la confiture","Crepe, filled with jam","03.1",
23855.00,"Gaufre bruxelloise ou liégeoise, avec ou sans chocolat, préemballée","Wafle, industrial","03.1",
23880.00,"Beignet nature","Doughnut, plain","02.4",
23881.00,"Beignet à la confiture","Doughnut, jam filled, from bakery","02.4",
23883.00,"Beignet aux fruits","Fritter, fruit","02.4",
23900.00,"Pâtisserie (aliment moyen)","Pastry (average)","AM",
23909.00,"Cake aux fruits","Fruit cake","03.1",
23939.00,"Gâteau moelleux fourré au chocolat ou aux pépites de chocolat ou au lait","Mini pound cake with chocolate filling","03.1",
23950.00,"Muffin, aux myrtilles ou au chocolat","Muffin, blueberry or chocolate","02.4",
24000.00,"Biscuit sec, tout type","Biscuit (cookie)","03.2",
24004.00,"Biscuit sec aux fruits, hyposodé","Biscuit (cookie) with fruit, low sodium","03.2",
19880.00,"Yaourt au lait de chèvre partiellement écrémé, nature","Yoghurt from goat's milk, lowfat, plain","05.4",
20000.00,"Artichaut, cuit","Artichoke, globe, boiled","15",
20001.00,"Asperge, cuite","Asparagus, boiled","15",
20002.00,"Aubergine, cuite","Eggplant, cooked, boiled","15",
20003.00,"Betterave rouge, cuite","Beetroot, boiled","15",
20006.00,"Brocoli, cuit","Broccoli, boiled","15",
20007.00,"Carotte, appertisée, égouttée","Carrot, canned","15",
20008.00,"Carotte, cuite","Carrot, boiled","15",
20009.00,"Carotte, crue","Carrot, raw","15",
20011.00,"Champignon, tout type, appertisé, égoutté","Mushroom, canned","15",
20012.00,"Chicorée frisée, crue","Endive (US chicory), raw","15",
20014.00,"Chou rouge, cru","Cabbage, red, raw","15",
20015.00,"Chou vert, cuit","Cabbage, green, boiled","15",
20016.00,"Chou-fleur, cru","Cauliflower, raw","15",
20017.00,"Chou-fleur, cuit","Cauliflower, boiled","15",
20018.00,"Coeur de palmier, appertisé, égoutté","Palm heart, canned","15",
20020.00,"Courgette, pulpe et peau, crue","Courgette (zucchini), raw, with skin","15",
20021.00,"Courgette, pulpe et peau, cuite","Courgette (zucchini), boiled, with skin","15",
20022.00,"Cresson de fontaine, cru","Watercress, raw","15","Nasturium officinale"
20023.00,"Céleri branche, cru","Celery stalk, raw","15",
20024.00,"Céleri branche, cuit","Celery stalk, boiled","15",
20025.00,"Céleri-rave, cuit","Celeriac, boiled","15",
20026.00,"Endive, crue","Witlof, raw","15",
20029.00,"Haricot mungo germé ou Pousse de ""soja"", appertisé, égoutté","Beans, mung, sprouted, canned, drained","15",
20030.00,"Haricot vert, cuit","Green bean, boiled","15",
20031.00,"Laitue, crue","Lettuce, raw","15",
20032.00,"Laitue, cuite","Lettuce, cooked","15",
20033.00,"Navet, cuit","Turnip, boiled","15",
20035.00,"Oignon, cuit","Onion, boiled","15",
20036.00,"Petit pois, appertisé, égoutté","Pea, green, canned","15",
20037.00,"Petit pois, cuit","Pea, green, boiled","15",
20040.00,"Poireau, cuit","Leek, boiled","15",
20041.00,"Poivron, vert, jaune ou rouge, cru","Pepper, sweet, green or red, raw","15",
20042.00,"Poivron, vert, jaune ou rouge, cuit","Pepper, sweet, green or red, boiled","15",
20043.00,"Potiron, appertisé, égoutté","Pumpkin, canned","15",
20045.00,"Radis rouge, cru","Radish, raw","15",
20046.00,"Salsifis, cuit","Salsify, boiled","15","Tragopogon porrifolius, Scorzonera hispanica"
20047.00,"Tomate, crue","Tomato, raw","15",
20050.00,"Topinambour, cuit","Jerusalem artichoke, boiled","15",
20051.00,"Macédoine de légumes, appertisée, égouttée","Vegetable mix, canned","15",
20052.00,"Artichaut, cru","Artichoke, globe, raw","15",
20054.00,"Cardon, cru","Cardoon, raw","15",
20055.00,"Céleri-rave, cru","Celeriac, raw","15",
20059.00,"Épinard, cru","Spinach, raw","15",
20062.00,"Haricot vert, appertisé, égoutté","Green bean, canned, drained","15",
20063.00,"Haricot beurre, appertisé, égoutté","Wax bean, canned","15",
20064.00,"Navet, pelé, cru","Turnip, peeled, raw","15",
20066.00,"Maïs doux, appertisé, égoutté","Sweet corn, canned","15",
20068.00,"Tomate, concentré","Tomato paste","15",
20071.00,"Haricot vert, surgelé, cuit","Green bean, frozen, boiled","15",
20076.00,"Asperge, appertisée, égouttée","Asparagus, canned","15",
26027.00,"Pilchard, sauce tomate, appertisé, égoutté","Pilchard, in tomato sauce, canned","13.2","Sardina pichardus (Walbaum, 1792)"
26028.00,"Poisson, croquette, frit","Fish nuggets, fried","13.2",
26030.00,"Poisson pané, frit","Fish cakes, fried","13.1",
26031.00,"Raie, cuite au four","Skate or ray, oven cooked","13.1","Raja spp."
26033.00,"Roussette, cuite","Dogfish, cooked","13.1","Scyliorhinus caniculus (Linnaeus, 1758)"
26034.00,"Sardine, à l'huile, appertisée, égouttée","Sardine, in oil, canned, drained solids","13.2","Sardina pichardus (Walbaum, 1792)"
26035.00,"Sardine, sauce tomate, appertisée, égouttée","Sardine, in tomato sauce, canned","13.2","Sardina pichardus (Walbaum, 1792)"
26037.00,"Saumon fumé","Salmon, smoked","13.2","Salmo salar Linneaeus, 1758"
26038.00,"Saumon, cuit à la vapeur","Salmon, steamed","13.1","Salmo salar Linneaeus, 1758"
26039.00,"Thon, au naturel, appertisé, égoutté","Tuna, canned in brine, drained","13.2","Thunnus spp."
26046.00,"Surimi, bâtonnets","Surimi","13.2",
26047.00,"Lieu noir, congelé","Pollock, freezed","13.1","Pollachius virens (Linnaeus, 1758)"
26053.00,"Thon, cru","Tuna, raw","13.1","Thunnus spp."
26054.00,"Poisson en sauce, surgelé","Fish in sauce, frozen","13.2",
26059.00,"Sole, cuite à la vapeur","Sole, steamed","13.1","Solea solea L., Solea vulgaris"
26060.00,"Sole, cuite au four","Sole, cooked in oven","13.1","Solea solea L., Solea vulgaris"
26063.00,"Rascasse, crue","Rockfish, raw","13.1","Scorpaena spp."
26077.00,"Thon germon ou thon blanc, cuit vapeur sous pression","Tuna, albacore, steamed under pressure","13.2","Thunnus alalunga Bonnaterre"
26079.00,"Anchois commun, cru","Anchovy, European, raw","13.1","Engraulis encrasicholus L."
26083.00,"Éperlan, cru","Smelt, raw","13.1","Osmerus eperlanus (Linnaeus, 1758), Osmerus spp."
26086.00,"Maquereau, filet sauce tomate, appertisé, égoutté","Mackerel, in tomato sauce, canned","13.2","Scomber (Scomber) scombrus Linnaeus, 1758"
26090.00,"Haddock (fumé) ou Églefin fumé","Haddock, smoked","13.2","Melanogrammus aeglefinus L."
26093.00,"Espadon, cuit au four","Swordfish,  broiled","13.1","Xiphias gladius Linnaeus, 1758"
26096.00,"Maquereau, filet sauce moutarde, appertisé, égoutté","Mackerel, canned in mustard sauce","13.2","Scomber (Scomber) scombrus Linnaeus, 1758"
26097.00,"Maquereau, filet au vin blanc, appertisé, égoutté","Mackerel, in white wine sauce, canned","13.2","Scomber (Scomber) scombrus Linnaeus, 1758"
26120.00,"Merlu, cuit à l'étouffée","Hake, stewed","13.1","Merluccius merluccius (Linnaeus, 1758)"
26130.00,"Julienne ou Lingue, crue","Ling, raw","13.1","Molva spp."
26136.00,"Sardine, grillée","Sardine, grilled","13.1","Sardina pichardus (Walbaum, 1792)"
26140.00,"Poisson cuit (aliment moyen)","Fish, cooked (average)","AM",
26142.00,"Foie de morue, appertisé, égoutté","Cod liver, canned","13.2","Gadus morhua morhua Linnaeus, 1758"
27001.00,"Anguille, pochée","Eel, poached","13.1","Anguilla anguilla (Linnaeus, 1758)"
27004.00,"Carpe, cuite au four","Carp, oven cooked","13.1","Cyprinus carpio carpio Linnaeus, 1758"
27006.00,"Truite, cuite au four","Brook trout, cooked, dry heat","13.1","Salmo trutta forma fario (L.)"
28001.00,"Porc, épaule, crue","Pork shoulder, raw","09",
28002.00,"Porc, poitrine, crue","Pork, belly, raw","09",
28100.00,"Porc, côte, crue","Pork chop, lean & fat, raw","09",
28101.00,"Porc, côte, grillée","Pork chop, grilled","09",
